-8,-3.047
-7,-2.659
-6,-2.273
-5,-1.889
-4,-1.507
-3,-1.127
-2,-0.749
-1,-0.374
0,0
1,0.371
2,0.739
3,1.105
4,1.469
5,1.83
6,2.188
7,2.544
8,2.896
