0,0
1,0.638
2,1.287
3,1.948
4,2.618
5,3.298
6,3.987
7,4.684
8,5.39
9,6.103
10,6.824
11,7.551
12,8.285
13,9.024
14,9.769
15,10.519
16,11.273
17,12.032
18,12.795
19,13.561
20,14.331
21,15.104
22,15.879
23,16.656
24,17.435
25,18.216
26,18.999
27,19.782
28,20.567
29,21.352
30,22.137
31,22.922
32,23.708
33,24.493
34,25.277
35,26.06
36,26.843
37,27.624
38,28.403
39,29.181
40,29.958
41,30.732
42,31.504
43,32.273
44,33.041
45,33.805
46,34.566
47,35.325
48,36.08
49,36.832
50,37.58
51,38.325
52,39.066
53,39.803
54,40.536
55,41.265
56,41.989
57,42.71
58,43.425
59,44.136
60,44.842
61,45.543
62,46.239
63,46.93
64,47.616
65,48.296
66,48.971
67,49.64
68,50.304
69,50.962
70,51.614
71,52.26
72,52.9
73,53.534
74,54.162
75,54.783
76,55.398
77,56.007
78,56.609
79,57.204
80,57.793
81,58.374
82,58.949
83,59.517
84,60.079
85,60.632
86,61.179
87,61.719
88,62.251
89,62.776
90,63.294
