-50,-8.01
-49,-7.892
-48,-7.772
-47,-7.649
-46,-7.523
-45,-7.395
-44,-7.263
-43,-7.13
-42,-6.994
-41,-6.855
-40,-6.714
-39,-6.571
-38,-6.425
-37,-6.278
-36,-6.128
-35,-5.977
-34,-5.823
-33,-5.668
-32,-5.511
-31,-5.352
-30,-5.192
-29,-5.03
-28,-4.866
-27,-4.702
-26,-4.535
-25,-4.368
-24,-4.2
-23,-4.03
-22,-3.86
-21,-3.688
-20,-3.516
-19,-3.343
-18,-3.169
-17,-2.995
-16,-2.82
-15,-2.645
-14,-2.469
-13,-2.293
-12,-2.116
-11,-1.94
-10,-1.763
-9,-1.586
-8,-1.409
-7,-1.232
-6,-1.055
-5,-0.879
-4,-0.702
-3,-0.526
-2,-0.351
-1,-0.175
0,0
1,0.174
2,0.348
3,0.521
4,0.693
5,0.865
6,1.036
7,1.207
8,1.376
9,1.545
10,1.713
11,1.879
12,2.045
13,2.21
14,2.373
15,2.536
16,2.697
17,2.858
18,3.017
19,3.174
20,3.331
21,3.486
22,3.64
23,3.793
24,3.944
25,4.094
26,4.242
27,4.389
28,4.535
29,4.679
30,4.821
31,4.962
32,5.102
33,5.239
34,5.376
35,5.51
36,5.643
37,5.775
38,5.905
39,6.033
40,6.159
